Station_ID  Cluster
0           1        0
1           2        0
2           3        1
3           4        0
4           5        1
5           6        0
6           8        0
7          10        0
8          11        0
9          12        0
10         13        1
11         14        0
12         16        1
13         17        1
14         18        1
15         19        1
16         20        1
17         24        2
18         25        0
19         26        1
20         27        1
21         28        0
22         29        1
23         30        1
24         31        0
25         47        1
26         48        1
27         50        0
28         54        1
29         55        1
30         86        1
