K;Seed;Inertia
2;40;10461.036581971446
2;41;12920.680723995314
2;42;10784.541486566108
2;43;10720.946880513353
2;44;13243.890612707291
2;45;10293.445505800368
2;46;10931.130901369634
2;47;10588.930723237128
2;48;10286.582499960221
2;49;10290.07485259847
2;50;13268.139551280761
2;51;10472.415402920546
2;52;10739.359907961234
2;53;10239.270195200632
2;54;10293.947130658482
3;40;8292.254274566436
3;41;9067.547917013337
3;42;9262.023366366302
3;43;9172.882907442761
3;44;9080.296497678117
3;45;8236.335228247932
3;46;8342.25988205363
3;47;8329.913686132099
3;48;8233.222299797559
3;49;9253.943207838607
3;50;9505.190888764786
3;51;8730.480824624212
3;52;9152.38002148407
3;53;8358.987826743758
3;54;8432.842350287765
4;40;7424.640509125037
4;41;7187.922496347616
4;42;7530.381692628131
4;43;7569.382020161575
4;44;7212.761321373719
4;45;7503.001460370725
4;46;7557.490271067585
4;47;7528.3461018178805
4;48;7934.306383791586
4;49;8012.79986079331
4;50;7782.915170118134
4;51;7671.331174540967
4;52;7603.9722528238135
4;53;7516.652061600859
4;54;7346.633388299729
