K;Seed;Inertia
2;40;10081.0059020115
2;41;9796.854831169247
2;42;10123.452930671041
2;43;10136.163532025792
2;44;9710.654667495468
2;45;10567.507638149873
2;46;10084.085632936272
2;47;9783.586001059914
2;48;10005.501018361758
2;49;10185.493958917361
2;50;11564.005554522533
2;51;10405.683904289906
2;52;10181.958084881726
2;53;10731.742573217858
2;54;10492.82957257478
3;40;8679.26854828345
3;41;7984.196145909938
3;42;8367.868040181367
3;43;8417.349254366758
3;44;8096.480047986438
3;45;7957.78358113272
3;46;7957.743397125992
3;47;7784.394689513624
3;48;8142.165440574315
3;49;8609.396761253265
3;50;9267.722483143114
3;51;8223.204837754376
3;52;9393.929343092655
3;53;8301.843420694595
3;54;8214.412107649545
4;40;7508.002016613459
4;41;7310.535601813938
4;42;6891.991816258369
4;43;6965.505189473228
4;44;6842.304391649933
4;45;6717.247110310813
4;46;6871.1747812673475
4;47;6649.661785522068
4;48;6957.164048622305
4;49;7280.585721355706
4;50;7054.868465602855
4;51;7399.080551222523
4;52;7190.5181161665505
4;53;7222.179167039568
4;54;7336.229436803584
