window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.6682,0.9292,0.9639,1.0292
2,3514,2024-08-16,2024-08-29,14,0.3896,0.1815,0.426,0.5967
3,3528,2024-08-30,2024-09-12,14,0.6964,0.6468,0.8042,1.0414
4,3542,2024-09-13,2024-09-26,14,0.666,0.5906,0.7685,0.9813
5,3556,2024-09-27,2024-10-10,14,0.7031,0.6857,0.828,1.0287
6,3570,2024-10-11,2024-10-24,14,0.6374,0.5755,0.7586,0.9376
7,3584,2024-10-25,2024-11-07,14,0.5296,0.5115,0.7152,0.7825
8,3598,2024-11-08,2024-11-21,14,0.4158,0.5421,0.7363,0.6076
9,3612,2024-11-22,2024-12-05,14,0.438,0.2549,0.5048,0.6398
10,3626,2024-12-06,2024-12-19,14,0.458,0.4981,0.7058,0.6835
11,3640,2024-12-20,2025-01-02,14,1.2703,3.286,1.8127,1.9053
12,3654,2025-01-03,2025-01-16,14,0.8671,1.1263,1.0613,1.2672
13,3668,2025-01-17,2025-01-30,14,1.1821,2.1726,1.474,1.6937
14,3682,2025-01-31,2025-02-13,14,0.5739,0.422,0.6496,0.8448
15,3696,2025-02-14,2025-02-27,14,0.4336,0.2773,0.5266,0.6398
16,3710,2025-02-28,2025-03-13,14,1.7645,4.1544,2.0382,2.5307
17,3724,2025-03-14,2025-03-27,14,0.8316,1.1382,1.0669,1.2037
18,3738,2025-03-28,2025-04-10,14,1.0908,1.8066,1.3441,1.5893
19,3752,2025-04-11,2025-04-24,14,0.796,1.3359,1.1558,1.2012
20,3766,2025-04-25,2025-05-08,14,1.1332,5.4628,2.3373,1.5937
21,3780,2025-05-09,2025-05-22,14,0.5875,0.4273,0.6537,0.8697
22,3794,2025-05-23,2025-06-05,14,0.4887,0.3018,0.5494,0.7303
23,3808,2025-06-06,2025-06-19,14,0.1863,0.0582,0.2413,0.2774
24,3822,2025-06-20,2025-07-03,14,0.1483,0.0418,0.2044,0.2214
25,3836,2025-07-04,2025-07-17,14,0.2617,0.1063,0.326,0.3929
26,3850,2025-07-18,2025-07-31,14,0.5155,0.7504,0.8662,0.7874
27,3864,2025-08-01,2025-08-14,14,0.4917,0.3387,0.582,0.7469
28,3878,2025-08-15,2025-08-28,14,0.6836,0.9835,0.9917,1.0319
29,3892,2025-08-29,2025-09-11,14,0.3526,0.3463,0.5885,0.5253
30,3906,2025-09-12,2025-09-25,14,0.2229,0.0862,0.2936,0.3356
31,3920,2025-09-26,2025-10-09,14,0.479,0.4597,0.678,0.7097
32,3934,2025-10-10,2025-10-23,14,0.4155,0.2995,0.5472,0.6169
33,3948,2025-10-24,2025-11-06,14,0.3184,0.2812,0.5303,0.4639
34,3962,2025-11-07,2025-11-20,14,0.8828,1.5776,1.256,1.285
35,3976,2025-11-21,2025-12-04,14,0.5034,0.4958,0.7041,0.7299
36,3990,2025-12-05,2025-12-18,14,0.7811,1.2547,1.1201,1.1509
