window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.974,1.7532,1.3241,1.6489
2,3514,2024-08-16,2024-08-29,14,1.2944,2.7993,1.6731,2.0882
3,3528,2024-08-30,2024-09-12,14,0.7236,0.8777,0.9369,1.1551
4,3542,2024-09-13,2024-09-26,14,0.9722,1.2303,1.1092,1.5461
5,3556,2024-09-27,2024-10-10,14,1.6894,5.3351,2.3098,2.5847
6,3570,2024-10-11,2024-10-24,14,1.1455,1.8832,1.3723,1.7872
7,3584,2024-10-25,2024-11-07,14,1.8782,4.4273,2.1041,3.0399
8,3598,2024-11-08,2024-11-21,14,1.0994,2.0661,1.4374,1.7352
9,3612,2024-11-22,2024-12-05,14,0.3308,0.2335,0.4832,0.5258
10,3626,2024-12-06,2024-12-19,14,1.1671,2.4556,1.567,1.8215
11,3640,2024-12-20,2025-01-02,14,1.7357,4.4798,2.1166,2.8635
12,3654,2025-01-03,2025-01-16,14,1.059,1.8453,1.3584,1.7026
13,3668,2025-01-17,2025-01-30,14,1.2185,2.0635,1.4365,1.9062
14,3682,2025-01-31,2025-02-13,14,0.9001,1.1219,1.0592,1.4031
15,3696,2025-02-14,2025-02-27,14,0.7615,0.7305,0.8547,1.2272
16,3710,2025-02-28,2025-03-13,14,1.5219,3.0104,1.735,2.3846
17,3724,2025-03-14,2025-03-27,14,0.7884,1.2595,1.1223,1.2262
18,3738,2025-03-28,2025-04-10,14,0.8857,1.1968,1.094,1.4071
19,3752,2025-04-11,2025-04-24,14,1.1016,2.2487,1.4996,1.8193
20,3766,2025-04-25,2025-05-08,14,1.2102,2.0202,1.4214,1.9527
21,3780,2025-05-09,2025-05-22,14,0.5148,0.4363,0.6605,0.8329
22,3794,2025-05-23,2025-06-05,14,0.4134,0.248,0.498,0.6708
23,3808,2025-06-06,2025-06-19,14,0.3966,0.2422,0.4921,0.6453
24,3822,2025-06-20,2025-07-03,14,0.3951,0.204,0.4517,0.6433
25,3836,2025-07-04,2025-07-17,14,0.761,1.0234,1.0116,1.2178
26,3850,2025-07-18,2025-07-31,14,1.0991,1.904,1.3799,1.831
27,3864,2025-08-01,2025-08-14,14,0.7542,0.711,0.8432,1.2619
28,3878,2025-08-15,2025-08-28,14,0.3494,0.3608,0.6006,0.5906
29,3892,2025-08-29,2025-09-11,14,0.4852,0.3625,0.6021,0.7931
30,3906,2025-09-12,2025-09-25,14,0.4598,0.2584,0.5084,0.7481
31,3920,2025-09-26,2025-10-09,14,0.4678,0.3024,0.5499,0.7523
32,3934,2025-10-10,2025-10-23,14,0.4049,0.2586,0.5085,0.656
33,3948,2025-10-24,2025-11-06,14,0.3782,0.2762,0.5255,0.6051
34,3962,2025-11-07,2025-11-20,14,0.9815,1.3708,1.1708,1.5696
35,3976,2025-11-21,2025-12-04,14,0.2473,0.0828,0.2877,0.394
36,3990,2025-12-05,2025-12-18,14,0.8752,1.2287,1.1085,1.4147
