window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.5849,0.4317,0.6571,1.0902
2,3514,2024-08-16,2024-08-29,14,0.7606,0.747,0.8643,1.424
3,3528,2024-08-30,2024-09-12,14,0.6242,0.7261,0.8521,1.1345
4,3542,2024-09-13,2024-09-26,14,0.5673,0.5663,0.7525,1.0317
5,3556,2024-09-27,2024-10-10,14,0.5714,0.5881,0.7669,1.0528
6,3570,2024-10-11,2024-10-24,14,1.4177,3.2462,1.8017,2.485
7,3584,2024-10-25,2024-11-07,14,1.3174,2.401,1.5495,2.3734
8,3598,2024-11-08,2024-11-21,14,0.4618,0.3204,0.566,0.8373
9,3612,2024-11-22,2024-12-05,14,0.541,0.6371,0.7982,0.9891
10,3626,2024-12-06,2024-12-19,14,0.5757,0.5934,0.7703,1.0316
11,3640,2024-12-20,2025-01-02,14,1.5672,13.5089,3.6754,2.4972
12,3654,2025-01-03,2025-01-16,14,1.085,1.5566,1.2476,1.9613
13,3668,2025-01-17,2025-01-30,14,1.2287,2.0837,1.4435,2.1769
14,3682,2025-01-31,2025-02-13,14,0.5979,0.6606,0.8128,1.0673
15,3696,2025-02-14,2025-02-27,14,0.9876,1.4053,1.1855,1.8035
16,3710,2025-02-28,2025-03-13,14,1.3971,2.8065,1.6753,2.4488
17,3724,2025-03-14,2025-03-27,14,0.9933,1.6078,1.268,1.7453
18,3738,2025-03-28,2025-04-10,14,0.9347,1.3327,1.1544,1.6802
19,3752,2025-04-11,2025-04-24,14,0.8668,1.0398,1.0197,1.5865
20,3766,2025-04-25,2025-05-08,14,1.041,2.1859,1.4785,1.8447
21,3780,2025-05-09,2025-05-22,14,0.6908,0.6594,0.812,1.2676
22,3794,2025-05-23,2025-06-05,14,0.8302,0.8161,0.9034,1.529
23,3808,2025-06-06,2025-06-19,14,0.3653,0.2208,0.4698,0.6596
24,3822,2025-06-20,2025-07-03,14,0.444,0.309,0.5558,0.7993
25,3836,2025-07-04,2025-07-17,14,0.5058,0.5014,0.7081,0.9104
26,3850,2025-07-18,2025-07-31,14,0.5011,0.3443,0.5868,0.9172
27,3864,2025-08-01,2025-08-14,14,0.6211,0.4277,0.654,1.16
28,3878,2025-08-15,2025-08-28,14,0.4529,0.3917,0.6259,0.8358
29,3892,2025-08-29,2025-09-11,14,0.5051,0.3704,0.6086,0.9366
30,3906,2025-09-12,2025-09-25,14,0.717,1.0357,1.0177,1.2919
31,3920,2025-09-26,2025-10-09,14,0.4345,0.2604,0.5103,0.7942
32,3934,2025-10-10,2025-10-23,14,1.0426,3.8786,1.9694,1.7669
33,3948,2025-10-24,2025-11-06,14,0.8932,1.4882,1.2199,1.589
34,3962,2025-11-07,2025-11-20,14,0.8717,1.5334,1.2383,1.5337
35,3976,2025-11-21,2025-12-04,14,0.4024,0.2092,0.4574,0.7145
36,3990,2025-12-05,2025-12-18,14,1.0373,1.6831,1.2973,1.847
