window_num,train_end_obs,forecast_start,forecast_end,n,MAE,MSE,RMSE,MAPE
1,3500,2024-08-02,2024-08-15,14,0.5949,0.4462,0.668,1.109
2,3514,2024-08-16,2024-08-29,14,1.0663,1.221,1.105,2.0017
3,3528,2024-08-30,2024-09-12,14,0.7054,1.0009,1.0004,1.2785
4,3542,2024-09-13,2024-09-26,14,0.5711,0.5627,0.7502,1.0445
5,3556,2024-09-27,2024-10-10,14,0.5951,0.5754,0.7585,1.1004
6,3570,2024-10-11,2024-10-24,14,1.2152,3.5741,1.8905,2.0979
7,3584,2024-10-25,2024-11-07,14,1.0745,2.0777,1.4414,1.9165
8,3598,2024-11-08,2024-11-21,14,0.5391,0.35,0.5916,0.9785
9,3612,2024-11-22,2024-12-05,14,0.46,0.3185,0.5644,0.8319
10,3626,2024-12-06,2024-12-19,14,0.6498,0.6565,0.8102,1.1685
11,3640,2024-12-20,2025-01-02,14,1.5572,12.4574,3.5295,2.4948
12,3654,2025-01-03,2025-01-16,14,0.8541,0.9288,0.9637,1.556
13,3668,2025-01-17,2025-01-30,14,1.004,1.5539,1.2466,1.775
14,3682,2025-01-31,2025-02-13,14,0.5294,0.549,0.7409,0.9417
15,3696,2025-02-14,2025-02-27,14,0.917,1.0369,1.0183,1.6772
16,3710,2025-02-28,2025-03-13,14,1.2899,2.3626,1.5371,2.261
17,3724,2025-03-14,2025-03-27,14,0.953,1.3639,1.1679,1.6914
18,3738,2025-03-28,2025-04-10,14,1.0206,1.3736,1.172,1.8409
19,3752,2025-04-11,2025-04-24,14,0.8058,0.9023,0.9499,1.476
20,3766,2025-04-25,2025-05-08,14,0.9602,1.9857,1.4092,1.7023
21,3780,2025-05-09,2025-05-22,14,0.5349,0.4997,0.7069,0.9836
22,3794,2025-05-23,2025-06-05,14,0.6918,0.6082,0.7798,1.2681
23,3808,2025-06-06,2025-06-19,14,0.4846,0.3508,0.5923,0.8747
24,3822,2025-06-20,2025-07-03,14,0.4656,0.3996,0.6322,0.8344
25,3836,2025-07-04,2025-07-17,14,0.6312,0.5826,0.7633,1.1427
26,3850,2025-07-18,2025-07-31,14,0.4601,0.2924,0.5407,0.8474
27,3864,2025-08-01,2025-08-14,14,0.7374,0.5885,0.7672,1.3776
28,3878,2025-08-15,2025-08-28,14,0.3793,0.2991,0.5469,0.7025
29,3892,2025-08-29,2025-09-11,14,0.4472,0.3363,0.5799,0.8288
30,3906,2025-09-12,2025-09-25,14,0.4688,0.6444,0.8028,0.8438
31,3920,2025-09-26,2025-10-09,14,0.4003,0.2214,0.4705,0.7314
32,3934,2025-10-10,2025-10-23,14,1.0411,4.2994,2.0735,1.761
33,3948,2025-10-24,2025-11-06,14,0.9013,1.5123,1.2298,1.6079
34,3962,2025-11-07,2025-11-20,14,0.8886,1.8538,1.3615,1.5483
35,3976,2025-11-21,2025-12-04,14,0.4502,0.3441,0.5866,0.7972
36,3990,2025-12-05,2025-12-18,14,0.9864,1.3866,1.1775,1.7548
