window_num,train_end_obs,horizon,fecha,actual,forecast_val,error,abs_error,sq_error,pct_error
1,3500,1,2024-08-02,67.385988,66.771714,0.614274,0.614274,0.377332,0.911575
1,3500,2,2024-08-03,64.709819,65.004406,-0.294587,0.294587,0.086781,0.455243
1,3500,3,2024-08-04,63.618282,64.349117,-0.730835,0.730835,0.53412,1.148781
1,3500,4,2024-08-05,66.663327,66.527872,0.135454,0.135454,0.018348,0.203192
1,3500,5,2024-08-06,66.818527,66.79914,0.019387,0.019387,0.000376,0.029014
1,3500,6,2024-08-07,66.518624,66.828176,-0.309552,0.309552,0.095822,0.465361
1,3500,7,2024-08-08,66.611302,66.844161,-0.232859,0.232859,0.054223,0.349579
1,3500,8,2024-08-09,66.110734,66.663517,-0.552783,0.552783,0.305569,0.836147
1,3500,9,2024-08-10,64.375898,64.892132,-0.516234,0.516234,0.266497,0.801905
1,3500,10,2024-08-11,63.514877,64.304933,-0.790057,0.790057,0.624189,1.243892
1,3500,11,2024-08-12,66.384899,66.575899,-0.191,0.191,0.036481,0.287716
1,3500,12,2024-08-13,65.823086,66.76346,-0.940373,0.940373,0.884302,1.428638
1,3500,13,2024-08-14,65.714913,66.83009,-1.115177,1.115177,1.24362,1.696993
1,3500,14,2024-08-15,63.987707,66.899897,-2.91219,2.91219,8.480853,4.551172
2,3514,1,2024-08-16,65.305175,66.066903,-0.761728,0.761728,0.58023,1.166413
2,3514,2,2024-08-17,63.792086,64.3197,-0.527614,0.527614,0.278376,0.827083
2,3514,3,2024-08-18,63.200806,63.773257,-0.572451,0.572451,0.3277,0.905765
2,3514,4,2024-08-19,65.660591,66.02089,-0.360299,0.360299,0.129816,0.54873
2,3514,5,2024-08-20,66.154228,66.31558,-0.161352,0.161352,0.026035,0.243903
2,3514,6,2024-08-21,66.090778,66.420774,-0.329996,0.329996,0.108897,0.499307
2,3514,7,2024-08-22,66.110843,66.532985,-0.422142,0.422142,0.178204,0.638536
2,3514,8,2024-08-23,65.90117,66.25413,-0.35296,0.35296,0.124581,0.535589
2,3514,9,2024-08-24,64.346951,64.492395,-0.145444,0.145444,0.021154,0.226031
2,3514,10,2024-08-25,63.498804,63.96587,-0.467067,0.467067,0.218151,0.735552
2,3514,11,2024-08-26,66.219155,66.42677,-0.207615,0.207615,0.043104,0.313528
2,3514,12,2024-08-27,66.364721,66.643386,-0.278665,0.278665,0.077654,0.419899
2,3514,13,2024-08-28,66.375909,66.650303,-0.274394,0.274394,0.075292,0.413394
2,3514,14,2024-08-29,67.432124,66.838805,0.593318,0.593318,0.352026,0.879875
3,3528,1,2024-08-30,66.613567,66.207528,0.406039,0.406039,0.164867,0.609544
3,3528,2,2024-08-31,65.621057,64.618679,1.002378,1.002378,1.004762,1.527525
3,3528,3,2024-09-01,64.925191,64.251481,0.67371,0.67371,0.453885,1.037671
3,3528,4,2024-09-02,67.343765,66.476491,0.867274,0.867274,0.752164,1.287831
3,3528,5,2024-09-03,67.173057,66.784387,0.38867,0.38867,0.151064,0.57861
3,3528,6,2024-09-04,68.126593,66.765361,1.361232,1.361232,1.852951,1.998091
3,3528,7,2024-09-05,67.667404,66.808047,0.859358,0.859358,0.738496,1.269973
3,3528,8,2024-09-06,67.792082,66.517834,1.274248,1.274248,1.623707,1.879641
3,3528,9,2024-09-07,65.48846,64.984932,0.503528,0.503528,0.25354,0.76888
3,3528,10,2024-09-08,63.902313,64.597403,-0.69509,0.69509,0.48315,1.087738
3,3528,11,2024-09-09,67.986028,66.765318,1.22071,1.22071,1.490133,1.795531
3,3528,12,2024-09-10,67.317794,67.144691,0.173102,0.173102,0.029964,0.257142
3,3528,13,2024-09-11,67.171387,67.053539,0.117848,0.117848,0.013888,0.175444
3,3528,14,2024-09-12,67.430403,67.223871,0.206531,0.206531,0.042655,0.306288
4,3542,1,2024-09-13,67.758347,67.444667,0.313681,0.313681,0.098395,0.46294
4,3542,2,2024-09-14,65.133364,65.785552,-0.652188,0.652188,0.425349,1.001311
4,3542,3,2024-09-15,64.609417,65.173788,-0.564372,0.564372,0.318515,0.873513
4,3542,4,2024-09-16,67.647436,67.384461,0.262975,0.262975,0.069156,0.388744
4,3542,5,2024-09-17,68.362064,67.568614,0.79345,0.79345,0.629563,1.160658
4,3542,6,2024-09-18,67.865337,67.548602,0.316735,0.316735,0.100321,0.466711
4,3542,7,2024-09-19,68.228196,67.773003,0.455193,0.455193,0.207201,0.667163
4,3542,8,2024-09-20,68.225376,67.553997,0.67138,0.67138,0.450751,0.984062
4,3542,9,2024-09-21,66.422155,65.897678,0.524477,0.524477,0.275076,0.789612
4,3542,10,2024-09-22,65.524147,65.238262,0.285885,0.285885,0.08173,0.436305
4,3542,11,2024-09-23,68.718101,67.430094,1.288007,1.288007,1.658961,1.874334
