window_num,train_end_obs,horizon,fecha,actual,forecast_val,error,abs_error,sq_error,pct_error
1,3500,1,2024-08-02,62.505953,62.314518,0.191435,0.191435,0.036647,0.306267
1,3500,2,2024-08-03,58.525293,59.74678,-1.221487,1.221487,1.492031,2.08711
1,3500,3,2024-08-04,57.934182,58.99711,-1.062929,1.062929,1.129817,1.834718
1,3500,4,2024-08-05,62.187014,62.14819,0.038824,0.038824,0.001507,0.062432
1,3500,5,2024-08-06,62.808512,63.248041,-0.439529,0.439529,0.193186,0.699792
1,3500,6,2024-08-07,62.504779,62.317452,0.187328,0.187328,0.035092,0.299701
1,3500,7,2024-08-08,60.486076,62.187656,-1.70158,1.70158,2.895375,2.813177
1,3500,8,2024-08-09,60.950963,61.210377,-0.259414,0.259414,0.067296,0.425611
1,3500,9,2024-08-10,57.868721,58.968744,-1.100023,1.100023,1.210051,1.900894
1,3500,10,2024-08-11,57.451227,58.289483,-0.838256,0.838256,0.702673,1.459074
1,3500,11,2024-08-12,60.785281,61.148628,-0.363347,0.363347,0.132021,0.597755
1,3500,12,2024-08-13,60.32012,61.615888,-1.295768,1.295768,1.679014,2.148152
1,3500,13,2024-08-14,60.186108,61.472708,-1.2866,1.2866,1.655339,2.137702
1,3500,14,2024-08-15,57.813519,61.462539,-3.64902,3.64902,13.315349,6.311708
2,3514,1,2024-08-16,58.402768,60.08107,-1.678302,1.678302,2.816697,2.873668
2,3514,2,2024-08-17,57.513418,58.078021,-0.564603,0.564603,0.318776,0.981689
2,3514,3,2024-08-18,57.234597,57.646955,-0.412358,0.412358,0.170039,0.72047
2,3514,4,2024-08-19,60.84169,61.191581,-0.349891,0.349891,0.122424,0.575084
2,3514,5,2024-08-20,63.322881,61.264162,2.058719,2.058719,4.238324,3.251146
2,3514,6,2024-08-21,59.874031,61.420904,-1.546873,1.546873,2.392817,2.583546
2,3514,7,2024-08-22,60.067552,61.225128,-1.157575,1.157575,1.339981,1.927123
2,3514,8,2024-08-23,60.876336,60.75238,0.123956,0.123956,0.015365,0.20362
2,3514,9,2024-08-24,58.120375,58.571763,-0.451388,0.451388,0.203751,0.776644
2,3514,10,2024-08-25,57.498193,57.924651,-0.426458,0.426458,0.181867,0.74169
2,3514,11,2024-08-26,65.356059,61.250935,4.105124,4.105124,16.852046,6.281169
