window_num,train_end_obs,horizon,fecha,actual,forecast_val,error,abs_error,sq_error,pct_error
1,3500,1,2024-08-02,61.15482,61.252239,-0.097419,0.097419,0.00949,0.159298
1,3500,2,2024-08-03,61.82435,61.413899,0.41045,0.41045,0.168469,0.663897
1,3500,3,2024-08-04,60.634557,61.869452,-1.234895,1.234895,1.524966,2.036619
1,3500,4,2024-08-05,60.183244,60.744516,-0.561273,0.561273,0.315027,0.932606
1,3500,5,2024-08-06,60.135724,60.291836,-0.156111,0.156111,0.024371,0.259598
1,3500,6,2024-08-07,60.053961,60.730734,-0.676774,0.676774,0.458022,1.126942
1,3500,7,2024-08-08,60.676933,60.811482,-0.134549,0.134549,0.018103,0.221746
1,3500,8,2024-08-09,60.462126,61.194455,-0.732329,0.732329,0.536306,1.21122
1,3500,9,2024-08-10,60.864618,61.463889,-0.599271,0.599271,0.359126,0.984597
1,3500,10,2024-08-11,61.052696,61.893544,-0.840848,0.840848,0.707026,1.37725
1,3500,11,2024-08-12,60.65293,60.749632,-0.096702,0.096702,0.009351,0.159435
1,3500,12,2024-08-13,59.744155,60.291373,-0.547217,0.547217,0.299447,0.915935
1,3500,13,2024-08-14,60.221715,60.635839,-0.414124,0.414124,0.171499,0.687666
1,3500,14,2024-08-15,59.785802,60.781475,-0.995674,0.995674,0.991366,1.665401
2,3514,1,2024-08-16,59.517021,60.6297,-1.112678,1.112678,1.238053,1.869513
2,3514,2,2024-08-17,60.428585,60.714792,-0.286207,0.286207,0.081915,0.473629
2,3514,3,2024-08-18,60.4045,60.870779,-0.466279,0.466279,0.217416,0.771927
2,3514,4,2024-08-19,59.757233,60.585693,-0.828461,0.828461,0.686347,1.386377
2,3514,5,2024-08-20,59.640886,59.794319,-0.153432,0.153432,0.023542,0.257261
2,3514,6,2024-08-21,60.131582,60.040829,0.090753,0.090753,0.008236,0.150924
2,3514,7,2024-08-22,60.033942,60.255681,-0.221739,0.221739,0.049168,0.369357
2,3514,8,2024-08-23,60.24291,60.517997,-0.275086,0.275086,0.075672,0.456628
2,3514,9,2024-08-24,60.615432,60.720384,-0.104952,0.104952,0.011015,0.173144
2,3514,10,2024-08-25,60.964326,60.736993,0.227332,0.227332,0.05168,0.372894
2,3514,11,2024-08-26,59.911154,60.367025,-0.455871,0.455871,0.207818,0.760911
2,3514,12,2024-08-27,59.645295,59.746549,-0.101254,0.101254,0.010252,0.16976
2,3514,13,2024-08-28,60.317462,60.043208,0.274253,0.274253,0.075215,0.454683
2,3514,14,2024-08-29,61.901327,60.32257,1.578757,1.578757,2.492475,2.550442
3,3528,1,2024-08-30,61.057115,60.64531,0.411805,0.411805,0.169583,0.674459
3,3528,2,2024-08-31,62.323912,61.291162,1.03275,1.03275,1.066573,1.657069
3,3528,3,2024-09-01,61.709665,61.756605,-0.04694,0.04694,0.002203,0.076065
3,3528,4,2024-09-02,61.509158,60.884762,0.624396,0.624396,0.389871,1.015127
3,3528,5,2024-09-03,60.11325,60.329997,-0.216747,0.216747,0.046979,0.360565
3,3528,6,2024-09-04,60.632175,60.703001,-0.070827,0.070827,0.005016,0.116813
3,3528,7,2024-09-05,61.297027,61.052778,0.244249,0.244249,0.059657,0.398467
3,3528,8,2024-09-06,61.524165,61.247548,0.276618,0.276618,0.076517,0.449608
3,3528,9,2024-09-07,62.370656,61.888479,0.482176,0.482176,0.232494,0.773082
3,3528,10,2024-09-08,63.112384,62.335215,0.777169,0.777169,0.603992,1.231405
