window_num,train_end_obs,horizon,fecha,actual,forecast_val,error,abs_error,sq_error,pct_error
1,3500,1,2024-08-02,48.314785,49.995416,-1.680631,1.680631,2.824522,3.478503
1,3500,2,2024-08-03,50.380404,50.081106,0.299298,0.299298,0.089579,0.594077
1,3500,3,2024-08-04,50.021258,50.1049,-0.083642,0.083642,0.006996,0.167213
1,3500,4,2024-08-05,48.603038,50.028666,-1.425628,1.425628,2.032416,2.933208
1,3500,5,2024-08-06,48.950773,50.029716,-1.078943,1.078943,1.164118,2.204139
1,3500,6,2024-08-07,48.552265,49.940558,-1.388293,1.388293,1.927357,2.859378
1,3500,7,2024-08-08,48.573016,49.904633,-1.331617,1.331617,1.773203,2.741474
1,3500,8,2024-08-09,50.340562,50.042939,0.297622,0.297622,0.088579,0.591218
1,3500,9,2024-08-10,50.65347,50.125515,0.527955,0.527955,0.278736,1.042288
1,3500,10,2024-08-11,49.246513,50.160126,-0.913613,0.913613,0.834689,1.855183
1,3500,11,2024-08-12,48.106872,50.042333,-1.935461,1.935461,3.74601,4.023253
1,3500,12,2024-08-13,47.945168,50.044744,-2.099576,2.099576,4.408219,4.379119
1,3500,13,2024-08-14,47.842455,49.951911,-2.109457,2.109457,4.449808,4.409173
1,3500,14,2024-08-15,48.86443,49.942048,-1.077618,1.077618,1.161261,2.205322
2,3514,1,2024-08-16,48.845846,49.604266,-0.75842,0.75842,0.575201,1.552681
2,3514,2,2024-08-17,50.627362,49.843707,0.783655,0.783655,0.614114,1.547887
2,3514,3,2024-08-18,48.594265,49.787368,-1.193103,1.193103,1.423495,2.455234
2,3514,4,2024-08-19,48.901958,49.351853,-0.449895,0.449895,0.202406,0.919994
2,3514,5,2024-08-20,48.528315,49.182325,-0.65401,0.65401,0.427729,1.347687
2,3514,6,2024-08-21,50.543018,49.222348,1.32067,1.32067,1.744168,2.612961
2,3514,7,2024-08-22,47.678143,49.393229,-1.715086,1.715086,2.94152,3.597216
2,3514,8,2024-08-23,48.407165,49.719686,-1.312521,1.312521,1.72271,2.711418
2,3514,9,2024-08-24,49.121578,49.907754,-0.786176,0.786176,0.618072,1.600469
2,3514,10,2024-08-25,49.168528,49.792751,-0.624223,0.624223,0.389654,1.269558
2,3514,11,2024-08-26,47.981054,49.421776,-1.440723,1.440723,2.075682,3.002691
2,3514,12,2024-08-27,47.498704,49.428047,-1.929344,1.929344,3.722368,4.061887
2,3514,13,2024-08-28,48.978433,49.460356,-0.481923,0.481923,0.232249,0.983949
2,3514,14,2024-08-29,52.68086,49.573711,3.107149,3.107149,9.654375,5.89806
3,3528,1,2024-08-30,49.262343,49.287456,-0.025113,0.025113,0.000631,0.050977
