window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,0.7455,0.9688,1.1454
2,3514,16AUG2024,29AUG2024,14,0.5331,0.8779,0.8063
3,3528,30AUG2024,12SEP2024,14,1.1381,1.2552,1.7021
4,3542,13SEP2024,26SEP2024,14,0.8167,0.9612,1.2042
5,3556,27SEP2024,10OCT2024,14,0.5411,0.7619,0.7838
6,3570,11OCT2024,24OCT2024,14,0.9245,1.0075,1.3635
7,3584,25OCT2024,07NOV2024,14,0.4846,0.6882,0.7156
8,3598,08NOV2024,21NOV2024,14,0.6331,0.9666,0.9275
9,3612,22NOV2024,05DEC2024,14,0.4962,0.6148,0.7313
10,3626,06DEC2024,19DEC2024,14,0.4953,0.7720,0.7399
11,3640,20DEC2024,02JAN2025,14,1.4262,1.9174,2.1378
12,3654,03JAN2025,16JAN2025,14,1.2523,1.7836,1.8308
13,3668,17JAN2025,30JAN2025,14,1.1971,1.5148,1.7163
14,3682,31JAN2025,13FEB2025,14,0.9059,1.0884,1.3265
15,3696,14FEB2025,27FEB2025,14,0.6109,0.7729,0.9008
16,3710,28FEB2025,13MAR2025,14,1.7349,1.9798,2.4908
17,3724,14MAR2025,27MAR2025,14,0.9729,1.2337,1.4284
18,3738,28MAR2025,10APR2025,14,1.3301,1.5550,1.9547
19,3752,11APR2025,24APR2025,14,1.2429,1.8454,1.8833
20,3766,25APR2025,08MAY2025,14,1.3651,2.4785,1.9368
21,3780,09MAY2025,22MAY2025,14,0.9318,1.3933,1.3964
22,3794,23MAY2025,05JUN2025,14,0.5676,0.6701,0.8455
23,3808,06JUN2025,19JUN2025,14,0.1744,0.2279,0.2602
24,3822,20JUN2025,03JUL2025,14,0.2294,0.2807,0.3440
25,3836,04JUL2025,17JUL2025,14,0.3390,0.3908,0.5094
26,3850,18JUL2025,31JUL2025,14,0.6396,0.9476,0.9733
27,3864,01AUG2025,14AUG2025,14,0.7477,0.8809,1.1311
28,3878,15AUG2025,28AUG2025,14,0.7984,1.2232,1.2075
29,3892,29AUG2025,11SEP2025,14,1.2331,1.4429,1.8401
30,3906,12SEP2025,25SEP2025,14,0.3196,0.3830,0.4756
31,3920,26SEP2025,09OCT2025,14,0.5498,0.8152,0.8132
32,3934,10OCT2025,23OCT2025,14,0.4428,0.6108,0.6588
33,3948,24OCT2025,06NOV2025,14,0.4048,0.6207,0.5884
34,3962,07NOV2025,20NOV2025,14,1.0867,1.3860,1.5808
35,3976,21NOV2025,04DEC2025,14,0.8173,1.0397,1.1954
36,3990,05DEC2025,18DEC2025,14,0.8113,1.1834,1.1989
