window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,1.0366,1.3614,1.6031
2,3514,16AUG2024,29AUG2024,14,1.1671,1.3219,1.7853
3,3528,30AUG2024,12SEP2024,14,1.6526,1.8520,2.4584
4,3542,13SEP2024,26SEP2024,14,1.4494,1.5306,2.1466
5,3556,27SEP2024,10OCT2024,14,1.3579,1.6336,2.0178
6,3570,11OCT2024,24OCT2024,14,1.1071,1.3658,1.6416
7,3584,25OCT2024,07NOV2024,14,1.0683,1.4192,1.5959
8,3598,08NOV2024,21NOV2024,14,0.6401,0.8562,0.9478
9,3612,22NOV2024,05DEC2024,14,0.7796,0.9303,1.1520
10,3626,06DEC2024,19DEC2024,14,0.8190,1.2236,1.2293
11,3640,20DEC2024,02JAN2025,14,1.3099,1.6616,1.9743
12,3654,03JAN2025,16JAN2025,14,1.2474,1.4855,1.8226
13,3668,17JAN2025,30JAN2025,14,1.6455,1.8581,2.3708
14,3682,31JAN2025,13FEB2025,14,1.1315,1.4476,1.6820
15,3696,14FEB2025,27FEB2025,14,0.8762,1.2459,1.3091
16,3710,28FEB2025,13MAR2025,14,1.4835,1.6821,2.1230
17,3724,14MAR2025,27MAR2025,14,1.1745,1.4208,1.7220
18,3738,28MAR2025,10APR2025,14,1.5529,1.7676,2.2940
19,3752,11APR2025,24APR2025,14,1.3022,1.6616,1.9688
20,3766,25APR2025,08MAY2025,14,1.6025,2.2853,2.2974
21,3780,09MAY2025,22MAY2025,14,0.9179,1.0970,1.3674
22,3794,23MAY2025,05JUN2025,14,0.6916,0.9760,1.0440
23,3808,06JUN2025,19JUN2025,14,0.8921,0.9912,1.3377
24,3822,20JUN2025,03JUL2025,14,0.9703,1.1245,1.4604
25,3836,04JUL2025,17JUL2025,14,0.8894,1.1936,1.3489
26,3850,18JUL2025,31JUL2025,14,1.1372,1.4904,1.7393
27,3864,01AUG2025,14AUG2025,14,0.6805,1.0184,1.0458
28,3878,15AUG2025,28AUG2025,14,1.1930,1.5892,1.8155
29,3892,29AUG2025,11SEP2025,14,1.4085,1.5044,2.1017
30,3906,12SEP2025,25SEP2025,14,1.0540,1.1399,1.5827
31,3920,26SEP2025,09OCT2025,14,0.7686,0.9633,1.1450
32,3934,10OCT2025,23OCT2025,14,0.5912,0.9264,0.8875
33,3948,24OCT2025,06NOV2025,14,0.8146,1.0995,1.2077
34,3962,07NOV2025,20NOV2025,14,0.9414,1.1685,1.3769
35,3976,21NOV2025,04DEC2025,14,0.7643,1.0925,1.1298
36,3990,05DEC2025,18DEC2025,14,1.2301,1.6474,1.8291
