window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,0.8042,1.0774,1.2406
2,3514,16AUG2024,29AUG2024,14,0.7326,0.8976,1.1077
3,3528,30AUG2024,12SEP2024,14,0.7844,0.8714,1.1690
4,3542,13SEP2024,26SEP2024,14,0.8704,0.9898,1.2802
5,3556,27SEP2024,10OCT2024,14,0.7558,0.8824,1.1144
6,3570,11OCT2024,24OCT2024,14,0.6855,0.7738,1.0073
7,3584,25OCT2024,07NOV2024,14,0.4625,0.6786,0.6785
8,3598,08NOV2024,21NOV2024,14,0.4888,0.8944,0.7146
9,3612,22NOV2024,05DEC2024,14,0.2736,0.3484,0.4007
10,3626,06DEC2024,19DEC2024,14,0.4955,0.7352,0.7397
11,3640,20DEC2024,02JAN2025,14,1.4109,1.9321,2.1160
12,3654,03JAN2025,16JAN2025,14,1.4686,1.6343,2.1543
13,3668,17JAN2025,30JAN2025,14,1.1601,1.4552,1.6620
14,3682,31JAN2025,13FEB2025,14,0.7405,0.8325,1.0917
15,3696,14FEB2025,27FEB2025,14,0.4229,0.5284,0.6237
16,3710,28FEB2025,13MAR2025,14,1.3815,1.6764,1.9803
17,3724,14MAR2025,27MAR2025,14,0.8290,0.9976,1.2047
18,3738,28MAR2025,10APR2025,14,1.1835,1.3526,1.7277
19,3752,11APR2025,24APR2025,14,0.9684,1.3083,1.4599
20,3766,25APR2025,08MAY2025,14,1.1120,2.3744,1.5618
21,3780,09MAY2025,22MAY2025,14,0.6142,0.6898,0.9119
22,3794,23MAY2025,05JUN2025,14,0.3562,0.4690,0.5350
23,3808,06JUN2025,19JUN2025,14,0.2460,0.2972,0.3685
24,3822,20JUN2025,03JUL2025,14,0.2844,0.3933,0.4299
25,3836,04JUL2025,17JUL2025,14,0.4810,0.6369,0.7301
26,3850,18JUL2025,31JUL2025,14,0.6944,1.0173,1.0623
27,3864,01AUG2025,14AUG2025,14,0.5440,0.6205,0.8292
28,3878,15AUG2025,28AUG2025,14,0.7275,1.0894,1.0998
29,3892,29AUG2025,11SEP2025,14,0.4093,0.5650,0.6104
30,3906,12SEP2025,25SEP2025,14,0.2941,0.3451,0.4396
31,3920,26SEP2025,09OCT2025,14,0.5651,0.7435,0.8359
32,3934,10OCT2025,23OCT2025,14,0.4130,0.5656,0.6130
33,3948,24OCT2025,06NOV2025,14,0.3479,0.5673,0.5061
34,3962,07NOV2025,20NOV2025,14,0.9555,1.3350,1.3894
35,3976,21NOV2025,04DEC2025,14,0.3265,0.4868,0.4750
36,3990,05DEC2025,18DEC2025,14,0.7836,1.1228,1.1590
