window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,0.7969,1.0698,1.2294
2,3514,16AUG2024,29AUG2024,14,0.7545,0.9209,1.1411
3,3528,30AUG2024,12SEP2024,14,0.7927,0.8804,1.1813
4,3542,13SEP2024,26SEP2024,14,0.8738,0.9935,1.2851
5,3556,27SEP2024,10OCT2024,14,0.7540,0.8809,1.1119
6,3570,11OCT2024,24OCT2024,14,0.6941,0.7834,1.0201
7,3584,25OCT2024,07NOV2024,14,0.4639,0.6787,0.6807
8,3598,08NOV2024,21NOV2024,14,0.4863,0.8927,0.7109
9,3612,22NOV2024,05DEC2024,14,0.2694,0.3442,0.3945
10,3626,06DEC2024,19DEC2024,14,0.4986,0.7368,0.7442
11,3640,20DEC2024,02JAN2025,14,1.4166,1.9362,2.1244
12,3654,03JAN2025,16JAN2025,14,1.4757,1.6410,2.1646
13,3668,17JAN2025,30JAN2025,14,1.1560,1.4516,1.6561
14,3682,31JAN2025,13FEB2025,14,0.7525,0.8445,1.1094
15,3696,14FEB2025,27FEB2025,14,0.4262,0.5305,0.6286
16,3710,28FEB2025,13MAR2025,14,1.3759,1.6708,1.9723
17,3724,14MAR2025,27MAR2025,14,0.8345,0.9989,1.2128
18,3738,28MAR2025,10APR2025,14,1.1882,1.3536,1.7347
19,3752,11APR2025,24APR2025,14,0.9722,1.3113,1.4656
20,3766,25APR2025,08MAY2025,14,1.1134,2.3753,1.5639
21,3780,09MAY2025,22MAY2025,14,0.6144,0.6907,0.9123
22,3794,23MAY2025,05JUN2025,14,0.3572,0.4698,0.5365
23,3808,06JUN2025,19JUN2025,14,0.2474,0.2980,0.3705
24,3822,20JUN2025,03JUL2025,14,0.2843,0.3931,0.4298
25,3836,04JUL2025,17JUL2025,14,0.4804,0.6364,0.7292
26,3850,18JUL2025,31JUL2025,14,0.6917,1.0149,1.0582
27,3864,01AUG2025,14AUG2025,14,0.5375,0.6143,0.8193
28,3878,15AUG2025,28AUG2025,14,0.7244,1.0897,1.0948
29,3892,29AUG2025,11SEP2025,14,0.4131,0.5679,0.6158
30,3906,12SEP2025,25SEP2025,14,0.2968,0.3467,0.4435
31,3920,26SEP2025,09OCT2025,14,0.5670,0.7455,0.8388
32,3934,10OCT2025,23OCT2025,14,0.4139,0.5659,0.6143
33,3948,24OCT2025,06NOV2025,14,0.3479,0.5661,0.5062
34,3962,07NOV2025,20NOV2025,14,0.9521,1.3323,1.3844
35,3976,21NOV2025,04DEC2025,14,0.3258,0.4836,0.4739
36,3990,05DEC2025,18DEC2025,14,0.7835,1.1234,1.1591
