window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,1.0982,1.3090,1.6870
2,3514,16AUG2024,29AUG2024,14,0.6049,0.6514,0.9227
3,3528,30AUG2024,12SEP2024,14,0.7603,0.8415,1.1322
4,3542,13SEP2024,26SEP2024,14,1.1881,1.3319,1.7483
5,3556,27SEP2024,10OCT2024,14,1.1523,1.4038,1.6707
6,3570,11OCT2024,24OCT2024,14,0.8041,1.0307,1.1832
7,3584,25OCT2024,07NOV2024,14,0.5558,0.7162,0.8190
8,3598,08NOV2024,21NOV2024,14,0.5903,0.9958,0.8653
9,3612,22NOV2024,05DEC2024,14,0.4464,0.5205,0.6536
10,3626,06DEC2024,19DEC2024,14,0.4355,0.6779,0.6503
11,3640,20DEC2024,02JAN2025,14,1.3604,1.9210,2.0415
12,3654,03JAN2025,16JAN2025,14,0.6944,0.9556,1.0180
13,3668,17JAN2025,30JAN2025,14,1.2926,1.6547,1.8501
14,3682,31JAN2025,13FEB2025,14,0.4396,0.5252,0.6455
15,3696,14FEB2025,27FEB2025,14,0.4900,0.5929,0.7226
16,3710,28FEB2025,13MAR2025,14,1.4549,1.6949,2.0867
17,3724,14MAR2025,27MAR2025,14,0.6913,0.9557,1.0002
18,3738,28MAR2025,10APR2025,14,1.3051,1.4404,1.9121
19,3752,11APR2025,24APR2025,14,1.3650,1.7057,2.0581
20,3766,25APR2025,08MAY2025,14,1.1121,2.1199,1.5800
21,3780,09MAY2025,22MAY2025,14,0.7629,0.9846,1.1415
22,3794,23MAY2025,05JUN2025,14,0.6239,0.8208,0.9377
23,3808,06JUN2025,19JUN2025,14,0.4044,0.5593,0.6096
24,3822,20JUN2025,03JUL2025,14,0.4095,0.5126,0.6180
25,3836,04JUL2025,17JUL2025,14,0.4582,0.5840,0.6942
26,3850,18JUL2025,31JUL2025,14,0.8091,1.0878,1.2334
27,3864,01AUG2025,14AUG2025,14,0.8490,0.9532,1.2875
28,3878,15AUG2025,28AUG2025,14,1.0909,1.2089,1.6566
29,3892,29AUG2025,11SEP2025,14,0.6006,0.8466,0.8927
30,3906,12SEP2025,25SEP2025,14,0.5602,0.6030,0.8341
31,3920,26SEP2025,09OCT2025,14,0.8461,1.0657,1.2518
32,3934,10OCT2025,23OCT2025,14,0.6285,0.8169,0.9295
33,3948,24OCT2025,06NOV2025,14,0.6119,0.8031,0.8948
34,3962,07NOV2025,20NOV2025,14,1.2132,1.5432,1.7626
35,3976,21NOV2025,04DEC2025,14,0.6865,0.9091,0.9953
36,3990,05DEC2025,18DEC2025,14,0.8192,1.1036,1.2018
