window_num,train_end_obs,forecast_start,forecast_end,n,MAE,RMSE,MAPE
1,3500,02AUG2024,15AUG2024,14,0.8002,1.0689,1.2346
2,3514,16AUG2024,29AUG2024,14,0.7244,0.9046,1.0945
3,3528,30AUG2024,12SEP2024,14,0.7922,0.8812,1.1805
4,3542,13SEP2024,26SEP2024,14,0.8685,0.9878,1.2774
5,3556,27SEP2024,10OCT2024,14,0.7339,0.8571,1.0813
6,3570,11OCT2024,24OCT2024,14,0.6953,0.7828,1.0213
7,3584,25OCT2024,07NOV2024,14,0.4547,0.6702,0.6667
8,3598,08NOV2024,21NOV2024,14,0.5046,0.9148,0.7382
9,3612,22NOV2024,05DEC2024,14,0.2693,0.3467,0.3948
10,3626,06DEC2024,19DEC2024,14,0.5018,0.7325,0.7485
11,3640,20DEC2024,02JAN2025,14,1.4233,1.9531,2.1344
12,3654,03JAN2025,16JAN2025,14,1.4634,1.6287,2.1464
13,3668,17JAN2025,30JAN2025,14,1.1595,1.4552,1.6612
14,3682,31JAN2025,13FEB2025,14,0.7491,0.8422,1.1041
15,3696,14FEB2025,27FEB2025,14,0.4282,0.5297,0.6314
16,3710,28FEB2025,13MAR2025,14,1.3859,1.6844,1.9867
17,3724,14MAR2025,27MAR2025,14,0.8418,1.0017,1.2235
18,3738,28MAR2025,10APR2025,14,1.2008,1.3597,1.7537
19,3752,11APR2025,24APR2025,14,0.9813,1.3198,1.4795
20,3766,25APR2025,08MAY2025,14,1.1173,2.3718,1.5697
21,3780,09MAY2025,22MAY2025,14,0.6268,0.7029,0.9310
22,3794,23MAY2025,05JUN2025,14,0.3660,0.4836,0.5501
23,3808,06JUN2025,19JUN2025,14,0.2586,0.3125,0.3874
24,3822,20JUN2025,03JUL2025,14,0.2942,0.4091,0.4449
25,3836,04JUL2025,17JUL2025,14,0.4820,0.6405,0.7317
26,3850,18JUL2025,31JUL2025,14,0.6932,1.0153,1.0606
27,3864,01AUG2025,14AUG2025,14,0.5315,0.6124,0.8104
28,3878,15AUG2025,28AUG2025,14,0.7277,1.0903,1.1001
29,3892,29AUG2025,11SEP2025,14,0.4243,0.5841,0.6322
30,3906,12SEP2025,25SEP2025,14,0.2975,0.3450,0.4444
31,3920,26SEP2025,09OCT2025,14,0.5660,0.7492,0.8372
32,3934,10OCT2025,23OCT2025,14,0.4157,0.5748,0.6168
33,3948,24OCT2025,06NOV2025,14,0.3523,0.5648,0.5126
34,3962,07NOV2025,20NOV2025,14,0.9605,1.3471,1.3965
35,3976,21NOV2025,04DEC2025,14,0.3312,0.4818,0.4819
36,3990,05DEC2025,18DEC2025,14,0.7711,1.1108,1.1406
